		0	1	2	3	4	5	6	7	8	9	10	11	12	13
3	0,825	0,911	0,957	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,957	0,911	0,825	
4	0,825	0,911	0,957	0,983	0,996	0,996	0,996	0,996	0,996	0,996	0,983	0,957	0,911	0,825	
5	0,825	0,911	0,957	0,983	0,996	1	1	1	1	0,996	0,983	0,957	0,911	0,825	
6	0,825	0,911	0,957	0,983	0,996	1	0,997	0,997	1	0,996	0,983	0,957	0,911	0,825	
7	0,825	0,911	0,957	0,983	0,996	1	0,997	0,997	1	0,996	0,983	0,957	0,911	0,825	
8	0,825	0,911	0,957	0,983	0,996	1	1	1	1	0,996	0,983	0,957	0,911	0,825	
9	0,825	0,911	0,957	0,983	0,996	0,996	0,996	0,996	0,996	0,996	0,983	0,957	0,911	0,825	
10	0,825	0,911	0,957	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,957	0,911	0,825	
11	0,825	0,911	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,911	0,825	
12	0,825	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,825	
13	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	
0	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	
1	0,5	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,5	
2	0,5	0,825	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,825	0,5	
3	0,5	0,825	0,911	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,911	0,825	0,5	
4	0,5	0,825	0,911	0,957	0,983	0,983	0,983	0,983	0,983	0,983	0,957	0,911	0,825	0,5	
5	0,5	0,825	0,911	0,957	0,983	0,996	0,996	0,996	0,996	0,983	0,957	0,911	0,825	0,5	
6	0,5	0,825	0,911	0,957	0,983	0,996	1	1	0,996	0,983	0,957	0,911	0,825	0,5	
7	0,5	0,825	0,911	0,957	0,983	0,996	1	1	0,996	0,983	0,957	0,911	0,825	0,5	
8	0,5	0,825	0,911	0,957	0,983	0,996	0,996	0,996	0,996	0,983	0,957	0,911	0,825	0,5	
9	0,5	0,825	0,911	0,957	0,983	0,983	0,983	0,983	0,983	0,983	0,957	0,911	0,825	0,5	
10	0,5	0,825	0,911	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,911	0,825	0,5	
11	0,5	0,825	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,825	0,5	
12	0,5	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,5	
13	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,5	
	1	2	3	4	5	6	7	8	9	10	11	12			
1	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333			
2	0,333	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,333			
3	0,333	0,714	0,832	0,832	0,832	0,832	0,832	0,832	0,832	0,832	0,714	0,333			
4	0,333	0,714	0,832	0,908	0,908	0,908	0,908	0,908	0,908	0,832	0,714	0,333			
5	0,333	0,714	0,832	0,908	0,961	0,961	0,961	0,961	0,908	0,832	0,714	0,333			
6	0,333	0,714	0,832	0,908	0,961	1	1	0,961	0,908	0,832	0,714	0,333			
7	0,333	0,714	0,832	0,908	0,961	1	1	0,961	0,908	0,832	0,714	0,333			
8	0,333	0,714	0,832	0,908	0,961	0,961	0,961	0,961	0,908	0,832	0,714	0,333			
9	0,333	0,714	0,832	0,908	0,908	0,908	0,908	0,908	0,908	0,832	0,714	0,333			
10	0,333	0,714	0,832	0,832	0,832	0,832	0,832	0,832	0,832	0,832	0,714	0,333			
11	0,333	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,714	0,333			
12	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333	0,333			
	2	3	4	5	6	7	8	9	10	11					
2	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0,25					
3	0,25	0,688	0,688	0,688	0,688	0,688	0,688	0,688	0,688	0,25					
4	0,25	0,688	0,832	0,832	0,832	0,832	0,832	0,832	0,688	0,25					
5	0,25	0,688	0,832	0,929	0,929	0,929	0,929	0,832	0,688	0,25					
6	0,25	0,688	0,832	0,929	1	1	0,929	0,832	0,688	0,25					
7	0,25	0,688	0,832	0,929	1	1	0,929	0,832	0,688	0,25					
8	0,25	0,688	0,832	0,929	0,929	0,929	0,929	0,832	0,688	0,25					
9	0,25	0,688	0,832	0,832	0,832	0,832	0,832	0,832	0,688	0,25					
10	0,25	0,688	0,688	0,688	0,688	0,688	0,688	0,688	0,688	0,25					
11	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0,25	0,25					
	3	4	5	6	7	8	9	10							
3	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2							
4	0,2	0,711	0,711	0,711	0,711	0,711	0,711	0,2							
5	0,2	0,711	0,883	0,883	0,883	0,883	0,711	0,2							
6	0,2	0,711	0,883	1	1	0,883	0,711	0,2							
7	0,2	0,711	0,883	1	1	0,883	0,711	0,2							
8	0,2	0,711	0,883	0,883	0,883	0,883	0,711	0,2							
9	0,2	0,711	0,711	0,711	0,711	0,711	0,711	0,2							
10	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2							
	4	5	6	7	8	9									
4	0,167	0,167	0,167	0,167	0,167	0,167									
5	0,167	0,79	0,79	0,79	0,79	0,167									
6	0,167	0,79	1	1	0,79	0,167									
7	0,167	0,79	1	1	0,79	0,167									
8	0,167	0,79	0,79	0,79	0,79	0,167									
9	0,167	0,167	0,167	0,167	0,167	0,167									
	5	6	7	8											
5	0,143	0,143	0,143	0,143											
6	0,143	1	1	0,143											
7	0,143	1	1	0,143											
8	0,143	0,143	0,143	0,143											
	6	7													
6	1.000	1.000													
7	1.000	1.000													
